artist_id,artist_name,followers,popularity,genres,num_genres
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,11108897,79,,0
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,16432852,87,rap,1
3UYZxxxrntUxxEeRycqHvq,Tullio Serafin,6112,50,"opera, classical",2
3Yg61bt7pZYX1bbMXEj8oY,Tony Vega,1240374,60,"salsa, salsa romantica",2
6U7CvLXWSS3t3a9iwY52oA,Jenny Tseng,57735,44,"cantopop, c-pop, mandopop",3
0GxSAKOw8AV0JsEQ0HYY4b,Andrew Rannells,54255,58,musicals,1
5FQ8tBUtIamA2hRtatrYUF,Marc Seguí,203413,68,,0
6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,5420572,72,"glam metal, glam rock, classic rock",3
6jPWrSmxOd9mj7Xaj4EP2Y,Emperor,334244,42,"black metal, symphonic metal, metal",3
5c3akKV3CUqAVOnGZqf4S3,BARELY ALIVE,213266,48,"dubstep, riddim, deathstep, bass music, dub, drumstep",6
3tVQdUvClmAT7URs9V3rsp,Wizkid,7741187,80,"afrobeats, afrobeat, afropop, azonto, afroswing, afropiano, dancehall",7
1Dot4uMsJMx8n1Xi7gAdV6,Jean-Yves Thibaudet,37451,62,"classical piano, classical",2
49HlOY4gkHqsYG9GCuhkcc,Celeste,621430,64,,0
30hElzuHCZ1qzCl364SHma,Teejay,272571,52,"dancehall, soca",2
2YRyPiW98bpkARAS4B3OQP,Dei V,1904001,84,"trap latino, urbano latino",2
5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,2027265,66,"indie, baroque pop",2
7ahPnBJddRjDfNb8NjEaG1,Crazy Otto,790,18,"ragtime, honky tonk",2
5a2EaR3hamoenG9rDuVn8j,Prince,7679899,73,funk rock,1
5oqLnVZzJJXE3YnzzZfRKu,F.I.R.,198285,58,"mandopop, taiwanese pop, c-pop",3
3plJVWt88EqjvtuB4ZDRV3,Ben E. King,667235,67,,0
0hCWVMGGQnRVfDgmhwLIxq,sakanaction,1521571,70,"j-pop, j-rock, japanese indie",3
27vNK840zYq6IfDijHPsv1,Gilberto Santa Rosa,3494939,70,"salsa, salsa romantica, merengue",3
16wnsPfzB98xYLLSJLPh3e,Haggus,28222,33,grindcore,1
2b6REyd5UBBp4ZPDhZ2TNB,Gateway Worship,450509,55,"worship, christian",2
6cjZV5nXfB0mD8bNtm20wU,Origen,9077,48,new age,1
4oLeXFyACqeem2VImYeBFe,Fred again..,1936217,77,"stutter house, house",2
1XRhUgCyzIdeT8d9KMfeDR,Aborted,158626,44,"death metal, deathcore, grindcore, metal",4
6ra4GIOgCZQZMOaUECftGN,Frank Zappa,998056,57,"progressive rock, art rock, jazz fusion, psychedelic rock, avant-garde, experimental, symphonic rock",7
4KCnzC71azFAYCKmD1bJOK,Raymond Lam,89422,51,"cantopop, c-pop, mandopop",3
2Ex4vjQ6mSh5woTlDWto6d,Masayoshi Takanaka,483614,61,"jazz fusion, city pop, jazz funk",3
7G1GBhoKtEPnP86X2PvEYO,Nina Simone,3116343,70,"vocal jazz, jazz blues, soul, soul jazz, jazz, blues",6
3yY2gUcIsjMr8hjo51PoJ8,The Smiths,7155366,80,"new wave, madchester, jangle pop",3
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,447667,58,christmas,1
5gs4Sm2WQUkcGeikMcVHbh,Hamza,1542001,74,pop urbaine,1
0GgY7hjMoGDsX8ZDe2mwds,Soolking,5946705,73,pop urbaine,1
2qT62DYO8Ajb276vUJmvhz,XTC,354188,52,"new wave, power pop, post-punk",3
3HqP3nd8WI0VfHRhApPlan,Trinix,277809,67,,0
4OyVGLuNjvA4c5IqBZsmFi,3 Pill Morning,26168,31,,0
2kS9NyuATpYwjeB93h24H5,Nina Chuba,926819,73,"german pop, german hip hop",2
3wdwWQXJbqpJJbMdp7KfEJ,BCee,51297,48,"liquid funk, drum and bass, jungle",3
2raI1NzKwfbI43su4NfcqW,Red Meat,1123,5,"honky tonk, alt country",2
0lFDQOEK5OwsyPXb1aWJzY,Little Baby Bum Nursery Rhyme Friends,81151,60,"lullaby, children's music",2
20p5D2KrE8CGuOjHtxsyTp,Fine Young Cannibals,920782,61,,0
2weA6hhVqTIN2gSn9PUB9U,Celia Cruz,679239,66,"salsa, son cubano, bolero, cha cha cha, merengue, mambo, latin, latin dance",8
0FNHT8Xv2B3q4SoBAXgnq2,Mahdyar,35670,7,,0
0EmeFodog0BfCgMzAIvKQp,Shakira,37755168,89,latin pop,1
1Uff91EOsvd99rtAupatMP,Claude Debussy,1614232,70,"classical piano, classical",2
3JkLFcTej6tdwZoQT6Nx4B,Seth Troxler,119701,39,"tech house, minimal techno",2
40JyDxGqtYSowWYT2jaive,Alan Fitzpatrick,147115,56,"techno, tech house",2
6UuT0BJZ9vF8Y1sxXnJl2s,Bounty Killer,269710,53,"dancehall, ragga, reggae, riddim, lovers rock, shatta",6
5PbgCU02dfdBCAzpOaNmYW,Sickmode,127002,61,"hardstyle, frenchcore, hardcore",3
77kULmXAQ6vWer7IIHdGzI,Jordan Davis,1500492,75,country,1
3imlibJrwqYv8gqII7u4r0,Zac Samuel,24926,52,deep house,1
6S0GHTqz5sxK5f9HtLXn9q,Garbage,1285716,62,,0
7kNqXtgeIwFtelmRjWv205,John Summit,483249,75,"house, tech house",2
1HUZ6vfsSWpfLoxjgDavEB,Devan Ekambaram,326644,62,"tamil pop, tollywood, telugu pop, kollywood, tamil dance",5
0MeLMJJcouYXCymQSHPn8g,Sleeping At Last,1514044,69,,0
2OEGI2wrCVmvavKEOMlccy,Phillipa Soo,99631,70,musicals,1
1NIZkVWOktJ496divSh7cF,Mütze Katze,9500,48,"schlagerparty, schlager",2
1r8VsWL02AYX36Fru4ELfT,Connate Exasperation,102,0,,0
5HcunTidTUrOaf8V0iJcvl,Nusrat Fateh Ali Khan,8187076,70,"qawwali, ghazal, sufi",3
5bC2AQ49NEL0cWpev4dgnw,Owl Vision,48466,44,synthwave,1
3lzTKwFsOqxtp5cLJ2qbSD,Tokyo Tea Room,64943,59,dream pop,1
2Pq0WuEVUvv1G7s7S4XNVs,Gorgasm,43749,29,"death metal, grindcore",2
3ggwAqZD3lyT2sbovlmfQY,Meshuggah,785263,57,"djent, progressive metal, groove metal, metal, death metal",5
4KxFQKuMJRcrnz0UpiGgw4,Mr Demon,10804,64,"hypertechno, afro house, techno, tekno",4
0wZ9TiIXE76xXjZUUbVmN7,Calil,1146,60,,0
0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer,4503886,79,soundtrack,1
0eRbECAGCLLiTyVXPBRexU,Jon Batiste,576926,61,,0
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,3029087,80,tropical house,1
4xTRZ0A9NyJ8f1Nzm01vRU,Maul,26818,48,hardstyle,1
6j6Ld5h0aFgH0VQWQNazS7,Hermetica,175611,48,"argentine rock, heavy metal",2
1hCkSJcXREhrodeIHQdav8,Ramin Djawadi,696653,69,soundtrack,1
7rxRHujzUzobMEbtoE297s,George Lam,271087,50,"cantopop, c-pop, mandopop",3
4lYtGx5NZQJHsMyhHc5iz3,The Cramps,555839,56,"psychobilly, rockabilly, deathrock, punk, proto-punk",5
55Aa2cqylxrFIXC767Z865,Lil Wayne,16873536,89,"rap, hip hop",2
6nVcHLIgY5pE2YCl8ubca1,JHAYCO,8693697,83,"reggaeton, trap latino, urbano latino",3
1Mh9G47YfuaLdQs44voLrQ,Hoogway,17474,63,"lo-fi, lo-fi beats",2
050QnLFFLehVLi8p4368U5,War Angel,212,0,thrash metal,1
4lu50np3LdTkRL09T7x8UP,Agoria,101733,48,minimal techno,1
6e8ISIsI7UQZPyEorefAhK,Dimmu Borgir,561680,52,"black metal, metal, symphonic metal, death metal",4
2EIZodXJHserIu4pGNfD3Z,Willie Gonzalez,1173756,65,"salsa, salsa romantica",2
3pO5VjZ4wOHCMBXOvbMISG,Antônio Carlos Jobim,820554,71,"bossa nova, brazilian jazz, mpb, latin jazz",4
7rAaRqIDuMiQuG4oy8vygE,Cody,1094,25,,0
47aXAyH6vI3y70PKyGldNG,Devourment,81056,37,"death metal, grindcore, deathcore",3
7JDSHlDdVTo7aZKdQZ53Vf,Static-X,1553927,60,"nu metal, industrial metal, industrial rock, industrial, rap metal, metal, alternative metal",7
3WYT2b8pOLsLsqSaoWYr7U,sodagreen,661196,59,"mandopop, taiwanese pop, c-pop, taiwanese indie, chinese rock",5
7kKoRxgfmSO6FeY8iuUO3O,HRISHI,65653,55,"malayalam hip hop, malayalam pop",2
0cOVRC8EOwDwXrs3JTrRN5,Me First and the Gimme Gimmes,352679,51,"ska punk, punk, skate punk, ska",4
74tkWjgprwTUFyWLQcSsG2,Miguel Caló,18527,37,tango,1
4KEHIUSoWCcqrk8AddTE1O,Panchiko,451396,65,shoegaze,1
